# pattern<TAB>reason
PRAGMA	SQLite-specific pragma syntax is not portable.
WITHOUT ROWID	SQLite-specific storage option is not portable.
MATCH	Full-text MATCH/TSQUERY behavior is tracked outside the portable SLT subset.
REGEXP	Regular-expression operator semantics are not implemented in UltraSQL.
GLOB	SQLite-specific glob operator is not PostgreSQL-compatible.
ON CONFLICT DO	Advanced PostgreSQL upsert behavior needs dedicated compatibility tests.
WINDOW	Window-function coverage belongs in a tagged PostgreSQL compatibility subset.
CREATE INDEX idx_tab2_0 ON tab2 (col3,col1)	Hydromatic SLT uses composite float indexes beyond current UltraSQL index-key support; query semantics still run through scans.
CREATE UNIQUE INDEX idx_tab3_1 ON tab3 (col1,col0)	Hydromatic SLT uses composite float indexes beyond current UltraSQL index-key support; query semantics still run through scans.
CREATE INDEX idx_tab4_0 ON tab4 (col4,col0)	Hydromatic SLT uses composite float indexes beyond current UltraSQL index-key support; query semantics still run through scans.
CREATE INDEX idx_tab4_5 ON tab4 (col1,col4,col3)	Hydromatic SLT uses composite float indexes beyond current UltraSQL index-key support; query semantics still run through scans.
